03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,00,01,01,01,01,01,01,01,01,01,02,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,40,41,41,41,41,41,41,41,41,41,42,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,00,01,01,01,01,01,01,01,01,01,02,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,20,21,21,21,21,21,21,21,21,21,22,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,20,21,21,21,21,21,21,21,21,21,22,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,40,41,41,41,41,41,41,41,41,41,42,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,
23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,23,03,
;
00,05,00,null,
02,02,02,null
